Cote d'Ivoire,CIV,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,3.70367,3.66868,4.09033,4.13755,4.65411,4.729,4.57743,3.49416,3.97232,3.80348,3.25603,,
Croatia,HRV,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,,,3.81978,4.15011,,4.56487,,,,3.91713,,,
Cuba,CUB,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,7.70481,8.35809,9.57117,,,,,,,,,,
Curacao,CUW,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,,,,,,4.93095,,,,,,,
Cyprus,CYP,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,4.98954,5.11552,5.58167,6.53854,,6.48378,6.4485,6.34636,6.1638,5.77719,,,
Czech Republic,CZE,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,3.65089,3.74855,3.97256,4.27214,4.25086,4.09089,3.99462,5.78885,5.58738,3.85402,,,
Denmark,DNK,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,8.08434,8.21545,8.21303,8.48486,7.23782,8.49443,7.63485,,,7.81608,,,
Djibouti,DJI,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,9.66,7.80543,8.4476,,,,,3.59024,3.92439,3.74856,3.62774,,
Dominica,DMA,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,,,,,,,,3.40858,,,,5.57345,
Dominican Republic,DOM,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,1.88829,1.96783,1.91401,,,,,,,,,,
Early-demographic dividend,EAR,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,,,,,,,,,,,,,
East Asia & Pacific,EAS,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,,3.551379919,3.828769922,4.125804901,4.577460051,4.526404858,4.714849949,,,,,,
East Asia & Pacific (excluding high income),EAP,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,4.260559916,2.668550014,2.997080088,4.60902977,4.865950108,4.53144002,,,,,,,
East Asia & Pacific (IDA & IBRD countries),TEA,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,,,,,,,,,,,,,
